question,answer
"How do you use the query builder where between?","DB::table('users')->whereBetween('age', [18, 30])->get();"
"How do you use the query builder where null?","DB::table('users')->whereNull('email')->get();"
"How do you use the query builder where like?","DB::table('users')->where('name', 'like', '%John%')->get();"
"How do you use the query builder where column?","DB::table('orders')->whereColumn('created_at', 'updated_at')->get();"
"How do you use the query builder where raw?","DB::table('users')->whereRaw('age > ? AND active = ?', [18, 1])->get();"
"How do you use the query builder or where?","DB::table('users')->where('age', '>', 18)->orWhere('active', true)->get();"
"How do you use the query builder where nested?","DB::table('users')->where(function ($query) { $query->where('age', '>', 18)->orWhere('active', true); })->get();"
"How do you use the query builder select raw?","DB::table('users')->selectRaw('age + 1 as next_age')->get();"
"How do you use the query builder having raw?","DB::table('orders')->select('user_id', DB::raw('sum(total) as total'))->groupBy('user_id')->havingRaw('sum(total) > ?', [1000])->get();"
"How do you use the query builder orderBy raw?","DB::table('users')->orderByRaw('age DESC, name ASC')->get();"
"How do you use the query builder group by raw?","DB::table('orders')->selectRaw('user_id, sum(total) as total')->groupByRaw('user_id')->get();"
"How do you use the query builder union?","$query1 = DB::table('users')->where('age', '>', 18); $query2 = DB::table('admins'); $query1->union($query2)->get();"
"How do you use the query builder intersect?","$query1 = DB::table('users')->where('active', true); $query2 = DB::table('users')->where('age', '>', 18); $query1->intersect($query2)->get();"
"How do you use the query builder except?","$query1 = DB::table('users')->where('active', true); $query2 = DB::table('users')->where('age', '>', 18); $query1->except($query2)->get();"
"How do you use the query builder cross join?","DB::table('sizes')->crossJoin('colors')->get();"
"How do you use the query builder left join?","DB::table('orders')->leftJoin('users', 'orders.user_id', '=', 'users.id')->get();"
"How do you use the query builder right join?","DB::table('orders')->rightJoin('users', 'orders.user_id', '=', 'users.id')->get();"
"How do you use the query builder join where?","DB::table('orders')->join('users', function ($join) { $join->on('orders.user_id', '=', 'users.id')->where('users.active', true); })->get();"
"How do you use the query builder sub query?","DB::table('orders')->where('total', '>', DB::table('orders')->selectRaw('avg(total)'))->get();"
"How do you use the query builder sub query in select?","DB::table('users')->select('name', DB::table('orders')->selectRaw('count(*)')->whereColumn('user_id', 'users.id'))->get();"
"How do you use the query builder sub query in from?","DB::table(DB::raw('(select * from users where active = 1) as active_users'))->get();"
"How do you use the query builder sub query in join?","DB::table('orders')->joinSub(DB::table('users')->where('active', true), 'active_users', 'orders.user_id', '=', 'active_users.id')->get();"
"How do you use the query builder sub query in where?","DB::table('users')->whereIn('id', DB::table('orders')->select('user_id')->distinct())->get();"
"How do you use the query builder sub query in having?","DB::table('orders')->select('user_id', DB::raw('sum(total) as total'))->groupBy('user_id')->having('total', '>', DB::table('orders')->selectRaw('avg(total)'))->get();"
"How do you use the query builder sub query in order by?","DB::table('users')->orderBy(DB::table('orders')->selectRaw('count(*)')->whereColumn('user_id', 'users.id'))->get();"
"How do you use the query builder sub query in group by?","DB::table('orders')->select('user_id', DB::raw('sum(total) as total'))->groupBy(DB::raw('user_id'))->get();"
"How do you use the query builder sub query in limit?","DB::table('users')->limit(DB::table('settings')->where('key', 'max_users')->value('value'))->get();"
"How do you use the query builder sub query in offset?","DB::table('users')->offset(DB::table('settings')->where('key', 'user_offset')->value('value'))->get();"
"How do you use the query builder sub query in insert?","DB::table('user_stats')->insert(DB::table('users')->select('id', DB::raw('0 as login_count'))->get()->toArray());"
"How do you use the query builder sub query in update?","DB::table('users')->update(['login_count' => DB::table('user_logins')->selectRaw('count(*)')->whereColumn('user_id', 'users.id')]);"
"How do you use the query builder sub query in delete?","DB::table('users')->whereIn('id', DB::table('orders')->select('user_id')->distinct())->delete();"
"How do you use the query builder where exists?","DB::table('users')->whereExists(DB::table('orders')->whereColumn('user_id', 'users.id'))->get();"
"How do you use the query builder where not exists?","DB::table('users')->whereNotExists(DB::table('orders')->whereColumn('user_id', 'users.id'))->get();"
"How do you use the query builder insertGetId?","$id = DB::table('users')->insertGetId(['name' => 'John']);"
"How do you use the query builder insert or update?","DB::table('users')->updateOrInsert(['email' => 'john@example.com'], ['name' => 'John']);"
"How do you use the query builder decrement?","DB::table('users')->where('id', 1)->decrement('login_count');"
"How do you use the query builder where not null?","DB::table('users')->whereNotNull('email')->get();"
